threshold,margin,dollar_amount,limit_price,num_trades,wins,losses,win_rate,avg_roi,sharpe_ratio,total_roi,avg_fill_rate,min_fill_rate,kelly_fraction,kelly_roi
0.55,0.01,1.0,0.56,28,20,8,0.7142857142857143,0.1991363301231044,0.2569677258236023,5.575817243446921,1.0,1.0,0.2841082955647788,0.02989575859150051
0.55,0.01,1001.0,0.56,28,20,8,0.7142857142857143,0.16464040698817636,0.2189648609197129,4.609931395668936,1.0,0.9999999999999999,0.25291185896173896,0.021879250478965107
0.55,0.01,2001.0,0.56,28,20,8,0.7142857142857143,0.14257193514458,0.19332501456483805,3.9920141840482417,1.0,0.9999999999999999,0.23021020822463614,0.01717142086129564
0.55,0.01,3001.0,0.56,28,20,8,0.7142857142857143,0.12340865303861956,0.17024562330782939,3.4554422850813475,1.0,0.9999999999999999,0.20854611235710876,0.013408555113682441
0.55,0.01,4001.0,0.56,28,20,8,0.7142857142857143,0.10459414857899976,0.14680169100608007,2.9286361602119944,1.0,0.9999999999999999,0.18523583681647598,0.010048327133408197
0.55,0.01,5001.0,0.56,28,20,8,0.7142857142857143,0.08425737961458034,0.12053505673475838,2.3592066292082494,1.0,0.9999999999999998,0.15740310571700827,0.006840874671635966
0.55,0.01,6001.0,0.56,28,20,8,0.7142857142857143,0.06355559257655154,0.0927396557818607,1.7795565921434437,1.0,0.9999999999999997,0.12575773287584227,0.004096898840390439
0.55,0.01,7001.0,0.56,28,20,8,0.7142857142857143,0.04318062291066288,0.06427447993900719,1.2090574414985598,1.0,0.9999999999999998,0.09072366886798826,0.0019941269228083147
0.55,0.01,8001.0,0.56,28,20,8,0.7142857142857143,0.022865402550817197,0.03473064683889253,0.6402312714228822,1.0,0.9999999999999998,0.0511910441750226,0.0005911857009583965
0.55,0.01,9001.0,0.56,28,20,8,0.7142857142857143,0.004012543588393623,0.006212642353311288,0.11235122047502122,1.0,0.9999999999999998,0.009565390527356098,1.9226433171093404e-05
0.55,0.01,10001.0,0.56,28,20,8,0.7142857142857143,-0.013164706218794961,-0.020749739199485813,-0.3686117741262589,1.0000000000000002,0.9999999999999997,,
0.55,0.01,11001.0,0.56,28,20,8,0.7142857142857143,-0.02841078910316504,-0.04551007457372002,-0.7955020948886211,1.0,0.9999999999999999,,
0.55,0.01,12001.0,0.56,28,20,8,0.7142857142857143,-0.040361321820002294,-0.06551333435857092,-1.1301170109600642,1.0,0.9999999999999997,,
