threshold,margin,dollar_amount,limit_price,num_trades,wins,losses,win_rate,avg_roi,sharpe_ratio,total_roi
0.55,0.01,1.0,0.56,110,72,38,0.6545454545454545,0.0675131605019423,0.08628840067438592,7.426447655213652
0.55,0.01,1001.0,0.56,110,72,38,0.6545454545454545,0.0430378327578939,0.056261016080807656,4.734161603368333
0.55,0.01,2001.0,0.56,110,72,38,0.6545454545454545,0.02661600139389218,0.03534915343544149,2.927760153328138
0.55,0.01,3001.0,0.56,110,72,38,0.6545454545454545,0.012875400873250026,0.017331272693253373,1.4162940960575008
0.55,0.01,4001.0,0.56,110,72,38,0.6545454545454545,0.0005865349935754042,0.0007992608539518004,0.06451884929329357
0.55,0.01,5001.0,0.56,110,72,38,0.6545454545454545,-0.011068486019432023,-0.015261379397271256,-1.2175334621375216
0.55,0.01,6001.0,0.56,110,72,38,0.6545454545454545,-0.022508151409649936,-0.031399073509110954,-2.475896655061493
0.55,0.01,7001.0,0.56,110,72,38,0.6545454545454545,-0.03385871220175821,-0.04778971575366286,-3.724458342193403
0.55,0.01,8001.0,0.56,110,72,38,0.6545454545454545,-0.045836777132536206,-0.06551122167046633,-5.042045484578988
0.55,0.01,9001.0,0.56,110,72,38,0.6545454545454545,-0.05837157141821601,-0.08454673839290175,-6.42087285600376
0.55,0.01,10001.0,0.56,110,72,38,0.6545454545454545,-0.07114329546383524,-0.1044825046390627,-7.825762501021879
0.55,0.01,11001.0,0.56,110,72,38,0.6545454545454545,-0.0835569305278529,-0.12440994065118659,-9.191262358063817
0.55,0.01,12001.0,0.56,110,72,38,0.6545454545454545,-0.09551407504254845,-0.14414448228463175,-10.506548254680334
0.55,0.01,13001.0,0.56,110,72,38,0.6545454545454545,-0.10737128169476484,-0.16426652902474148,-11.810840986424129
0.55,0.01,14001.0,0.56,110,72,38,0.6545454545454545,-0.11852632184020752,-0.18371802459196762,-13.037895402422825
0.55,0.02,1.0,0.5700000000000001,110,72,38,0.6545454545454545,0.055010311046428804,0.07128153509115948,6.051134215107171
0.55,0.02,1001.0,0.5700000000000001,110,72,38,0.6545454545454545,0.032973741583691166,0.04360490382042185,3.627111574206031
0.55,0.02,2001.0,0.5700000000000001,110,72,38,0.6545454545454545,0.017705976816430838,0.02376093335106297,1.947657449807393
0.55,0.02,3001.0,0.5700000000000001,110,72,38,0.6545454545454545,0.004421414587637889,0.006010955285640122,0.4863556046401676
0.55,0.02,4001.0,0.5700000000000001,110,72,38,0.6545454545454545,-0.007431201641200217,-0.010223060877909229,-0.8174321805320248
0.55,0.02,5001.0,0.5700000000000001,110,72,38,0.6545454545454545,-0.018990477556525193,-0.026432249426444794,-2.0889525312177684
0.55,0.02,6001.0,0.5700000000000001,110,72,38,0.6545454545454545,-0.03017028545360879,-0.04247395777849299,-3.3187313998969628
0.55,0.02,7001.0,0.5700000000000001,110,72,38,0.6545454545454545,-0.04143079120934751,-0.0590102911515118,-4.557387033028225
0.55,0.02,8001.0,0.5700000000000001,110,72,38,0.6545454545454545,-0.05360628740255685,-0.07733739002566509,-5.896691614281252
0.55,0.02,9001.0,0.5700000000000001,110,72,38,0.6545454545454545,-0.06659157687665442,-0.09742129954846082,-7.325073456431986
0.55,0.02,10001.0,0.5700000000000001,110,72,38,0.6545454545454545,-0.07937448475135345,-0.1177518805681711,-8.731193322648885
0.55,0.02,11001.0,0.5700000000000001,110,72,38,0.6545454545454545,-0.09163091837774241,-0.13779904243127933,-10.079401021551663
0.55,0.02,12001.0,0.5700000000000001,110,72,38,0.6545454545454545,-0.10354200717974628,-0.1578358787780422,-11.389620789772097
0.55,0.02,13001.0,0.5700000000000001,110,72,38,0.6545454545454545,-0.11517661431982787,-0.17795528775305114,-12.669427575181055
0.55,0.02,14001.0,0.5700000000000001,110,72,38,0.6545454545454545,-0.12601262368099603,-0.19720015920264972,-13.861388604909559
0.55,0.03,1.0,0.5800000000000001,110,72,38,0.6545454545454545,0.04621486796906101,0.06045331260085974,5.0836354765967116
0.55,0.03,1001.0,0.5800000000000001,110,72,38,0.6545454545454545,0.027263049606346675,0.03628479263675438,2.9989354566981334
0.55,0.03,2001.0,0.5800000000000001,110,72,38,0.6545454545454545,0.012537899077280423,0.01692526153467683,1.3791688985008435
0.55,0.03,3001.0,0.5800000000000001,110,72,38,0.6545454545454545,-0.0005770589808267286,-0.0007890794650571977,-0.0634764878909426
0.55,0.03,4001.0,0.5800000000000001,110,72,38,0.6545454545454545,-0.012259344760728945,-0.016960935228486206,-1.348527923680183
0.55,0.03,5001.0,0.5800000000000001,110,72,38,0.6545454545454545,-0.023679266443894308,-0.033142277586552985,-2.60471930882837
0.55,0.03,6001.0,0.5800000000000001,110,72,38,0.6545454545454545,-0.034834872151696894,-0.049315695927942806,-3.8318359366866583
0.55,0.03,7001.0,0.5800000000000001,110,72,38,0.6545454545454545,-0.04623816763752914,-0.06624043388438665,-5.086198440128204
0.55,0.03,8001.0,0.5800000000000001,110,72,38,0.6545454545454545,-0.05872223210007527,-0.08524494538531655,-6.459445531008278
0.55,0.03,9001.0,0.5800000000000001,110,72,38,0.6545454545454545,-0.07187177255423355,-0.10582456087637815,-7.905894980965687
0.55,0.03,10001.0,0.5800000000000001,110,72,38,0.6545454545454545,-0.08477999939311986,-0.12661004645582202,-9.32579993324319
0.55,0.03,11001.0,0.5800000000000001,110,72,38,0.6545454545454545,-0.09698395658734305,-0.1468213957074778,-10.668235224607727
0.55,0.03,12001.0,0.5800000000000001,110,72,38,0.6545454545454545,-0.10887355080442242,-0.16707667111782917,-11.976090588486466
0.55,0.03,13001.0,0.5800000000000001,110,72,38,0.6545454545454545,-0.12031134324874947,-0.18710317453312963,-13.234247757362434
0.55,0.03,14001.0,0.5800000000000001,110,72,38,0.6545454545454545,-0.13096243776934643,-0.2062503366107039,-14.405868154628102
0.55,0.04,1.0,0.5900000000000001,110,72,38,0.6545454545454545,0.03672501263768536,0.048526979977630405,4.0397513901453905
0.55,0.04,1001.0,0.5900000000000001,110,72,38,0.6545454545454545,0.01971802625044965,0.0264619232377346,2.1689828875494612
0.55,0.04,2001.0,0.5900000000000001,110,72,38,0.6545454545454545,0.005000379318446926,0.006807392020903289,0.5500417250291642
0.55,0.04,3001.0,0.5900000000000001,110,72,38,0.6545454545454545,-0.007952023613269837,-0.010965107475745589,-0.874722597459682
0.55,0.04,4001.0,0.5900000000000001,110,72,38,0.6545454545454545,-0.019269594340103103,-0.02687480539340782,-2.1196553774113402
0.55,0.04,5001.0,0.5900000000000001,110,72,38,0.6545454545454545,-0.030478654682097404,-0.0429955230103166,-3.352652015030711
0.55,0.04,6001.0,0.5900000000000001,110,72,38,0.6545454545454545,-0.04157899256097803,-0.05932773010663916,-4.573689181707584
0.55,0.04,7001.0,0.5900000000000001,110,72,38,0.6545454545454545,-0.05330000830240826,-0.07699128135388686,-5.863000913264906
