market_id,market_start_time,prediction_time,current_price,predicted_price,predicted_direction,buy_token_id,buy_price,shares,trade_cost,actual_direction,is_correct,pnl,return_pct,payout,model
1124246,2026-01-07T19:59:52.039956,2026-01-07T19:58:52.039956,91240.33,91359.295,up,84991001078102391607782362439213032961068344285754694984858612200105263238128,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,baseline
1124306,2026-01-07T20:00:09.851671,2026-01-07T19:59:09.851671,91186.07,91173.86000000002,down,68419822151215013347675351340047967995063036119618714644811679712197560482582,0.99,1.0,0.99,down,True,0.010000000000000009,1.010101010101011,1.0,baseline
1124447,2026-01-07T20:16:07.071505,2026-01-07T20:15:07.071505,91001.05,90650.11000000002,down,107262523670858947604101734249448724719255061676471204380204064231825843092599,0.99,1.0,0.99,down,True,0.010000000000000009,1.010101010101011,1.0,baseline
1124678,2026-01-07T20:31:06.203098,2026-01-07T20:30:06.203098,90915.93,90825.82499999998,down,87810386180570030382121982475792241964793422651864344599127694941312088139188,0.99,1.0,0.99,up,False,-0.99,-100.0,0.0,baseline
1124792,2026-01-07T20:46:05.803460,2026-01-07T20:45:05.803460,90979.06,90990.78999999998,up,64471338771241176933639186475436636459648131148346483199958591980629858615290,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,baseline
1124823,2026-01-07T21:01:05.106384,2026-01-07T21:00:05.106384,91160.57,91282.98500000002,up,11207078887823519724953787585787136918623907170572473886718227891494281649930,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,baseline
1125052,2026-01-07T21:15:57.638466,2026-01-07T21:14:57.638466,91177.2,91216.46999999999,up,101008795224179826084643710570202104550010259458723274457973444375132620562744,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,baseline
1125059,2026-01-07T21:30:52.382849,2026-01-07T21:29:52.382849,91179.48,91232.14499999999,up,55024927660618595575043875062212539521840995357966382535562125210485160462204,0.99,1.0,0.99,down,False,-0.99,-100.0,0.0,baseline
1125072,2026-01-07T21:45:44.658526,2026-01-07T21:44:44.658526,91118.19,91044.075,down,51916045553090154313443642858490480624591799226362086092953444664017051852334,0.99,1.0,0.99,down,True,0.010000000000000009,1.010101010101011,1.0,baseline
1125096,2026-01-07T22:00:39.074135,2026-01-07T21:59:39.074135,91089.5,91024.595,down,43795137853087234945401371997847227954922764167769521398837312665407981108116,0.99,1.0,0.99,down,True,0.010000000000000009,1.010101010101011,1.0,baseline
1125123,2026-01-07T22:15:34.319521,2026-01-07T22:14:34.319521,90982.37,91068.01999999999,up,93812421613770634932436625154543626589384286424301559572417430245878132108807,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,baseline
1125346,2026-01-07T22:30:11.450506,2026-01-07T22:29:11.450506,91076.16,91142.955,up,68048271739531100411727392033488677941493223914926073286020352124076684470154,0.99,1.0,0.99,down,False,-0.99,-100.0,0.0,baseline
1125600,2026-01-07T22:46:06.778492,2026-01-07T22:45:06.778492,91066.82,90902.96000000002,down,114637784206199760137120393138142075937610196442547385597792503363932928710650,0.99,1.0,0.99,up,False,-0.99,-100.0,0.0,baseline
1125620,2026-01-07T23:00:59.196836,2026-01-07T22:59:59.196836,91180.85,91417.62500000001,up,103192809862048347416688182327062821450304613364051202426170799676672722108027,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,baseline
1125683,2026-01-07T23:15:52.437506,2026-01-07T23:14:52.437506,91224.0,91489.13999999998,up,82916158469130297475175025036190596288796791024318422020585019575253863414573,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,baseline
1125887,2026-01-07T23:30:48.328149,2026-01-07T23:29:48.328149,91309.45,91260.4,down,59818585187561598179515626908878671878645983579082237259549293958448116202289,0.99,1.0,0.99,down,True,0.010000000000000009,1.010101010101011,1.0,baseline
1125903,2026-01-07T23:45:40.461686,2026-01-07T23:44:40.461686,91223.57,91174.80500000002,down,9115509431406971858258306073735663877418668005771652119247415847619984156880,0.99,1.0,0.99,up,False,-0.99,-100.0,0.0,baseline
1125961,2026-01-08T00:00:35.078112,2026-01-07T23:59:35.078112,91364.16,91490.71500000001,up,48462639459644033243682328828916234515854025470239386590898903659027607372107,0.99,1.0,0.99,down,False,-0.99,-100.0,0.0,baseline
1126037,2026-01-08T00:15:27.720583,2026-01-08T00:14:27.720583,91219.19,91121.91500000001,down,21729113744267974637565285509990038740594494059730966879190942328279064146038,0.99,1.0,0.99,down,True,0.010000000000000009,1.010101010101011,1.0,baseline
1126193,2026-01-08T00:30:23.840218,2026-01-08T00:29:23.840218,91111.99,91054.85500000001,down,50889180089307685221186652109008895207246213382623400386742161409927821210794,0.99,1.0,0.99,up,False,-0.99,-100.0,0.0,baseline
