market_id,market_start_time,prediction_time,current_price,predicted_price,predicted_direction,buy_token_id,buy_price,shares,trade_cost,actual_direction,is_correct,pnl,return_pct,payout,model
1124306,2026-01-07T20:05:35.851334,2026-01-07T20:04:35.851334,91255.96,93940.4453392486,up,70990622468105781937616404937730729442833323290945975650448727137527558116428,0.99,1.0,0.99,down,False,-0.99,-100.0,0.0,chronos-bolt
1124447,2026-01-07T20:16:07.071505,2026-01-07T20:15:07.071505,91001.05,93910.68617445166,up,107262523670858947604101734249448724719255061676471204380204064231825843092599,0.99,1.0,0.99,down,False,-0.99,-100.0,0.0,chronos-bolt
1124678,2026-01-07T20:31:06.203098,2026-01-07T20:30:06.203098,90915.93,94018.2090074281,up,87810386180570030382121982475792241964793422651864344599127694941312088139188,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,chronos-bolt
1124792,2026-01-07T20:46:05.803460,2026-01-07T20:45:05.803460,90979.06,93889.30360243832,up,64471338771241176933639186475436636459648131148346483199958591980629858615290,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,chronos-bolt
1124823,2026-01-07T21:01:05.106384,2026-01-07T21:00:05.106384,91160.57,93370.1794926055,up,25402881120235179623418045100880450212006793732419889110521781482702650517738,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,chronos-bolt
1125052,2026-01-07T21:15:57.638466,2026-01-07T21:14:57.638466,91177.2,93009.54250114772,up,57863725150325203347487305063782662632157157985495867337192412083254000160401,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,chronos-bolt
1125059,2026-01-07T21:30:52.382849,2026-01-07T21:29:52.382849,91179.48,92941.38861379602,up,55024927660618595575043875062212539521840995357966382535562125210485160462204,0.99,1.0,0.99,down,False,-0.99,-100.0,0.0,chronos-bolt
1125072,2026-01-07T21:45:44.658526,2026-01-07T21:44:44.658526,91118.19,92876.29881901096,up,6401790129508596058046826621991562350491117036733314358180064125699421178995,0.99,1.0,0.99,down,False,-0.99,-100.0,0.0,chronos-bolt
1125096,2026-01-07T22:00:39.074135,2026-01-07T21:59:39.074135,91089.5,92664.12279197012,up,15516024569250549444383143624598545522239669912007869249363086464806866401197,0.99,1.0,0.99,down,False,-0.99,-100.0,0.0,chronos-bolt
1125123,2026-01-07T22:15:34.319521,2026-01-07T22:14:34.319521,90982.37,92602.41419985614,up,100747989617460479810909723316207253502565976730407346658375650497780557934141,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,chronos-bolt
1125346,2026-01-07T22:30:11.450506,2026-01-07T22:29:11.450506,91076.16,92507.687356066,up,105788189049536254620547770475588713845367556009158963560719520464868329532965,0.99,1.0,0.99,down,False,-0.99,-100.0,0.0,chronos-bolt
1125600,2026-01-07T22:46:06.778492,2026-01-07T22:45:06.778492,91066.82,92263.49941082778,up,114637784206199760137120393138142075937610196442547385597792503363932928710650,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,chronos-bolt
1125620,2026-01-07T23:00:59.196836,2026-01-07T22:59:59.196836,91180.85,92204.03969129483,up,7804630735121219331853255977016393905248244628965810021563433369956694079950,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,chronos-bolt
1125683,2026-01-07T23:15:52.437506,2026-01-07T23:14:52.437506,91224.0,92182.46993751006,up,72710660106774122636311139721341675637485697568012617870533572122216039302961,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,chronos-bolt
1125887,2026-01-07T23:30:48.328149,2026-01-07T23:29:48.328149,91309.45,92413.89586491413,up,2280829774489904214308220138237889305772559748353157898284840054626008650630,0.99,1.0,0.99,down,False,-0.99,-100.0,0.0,chronos-bolt
1125903,2026-01-07T23:45:40.461686,2026-01-07T23:44:40.461686,91223.57,92462.59850610908,up,110150107141089030112530247588191323375048339681407174296429624848069255477987,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,chronos-bolt
1125961,2026-01-08T00:00:35.078112,2026-01-07T23:59:35.078112,91364.16,92484.23146044498,up,71697375032543420107687587297087795305641007104156759155699968512425073131063,0.99,1.0,0.99,down,False,-0.99,-100.0,0.0,chronos-bolt
1126037,2026-01-08T00:15:27.720583,2026-01-08T00:14:27.720583,91219.19,92557.16937269988,up,21729113744267974637565285509990038740594494059730966879190942328279064146038,0.99,1.0,0.99,down,False,-0.99,-100.0,0.0,chronos-bolt
1126193,2026-01-08T00:30:23.840218,2026-01-08T00:29:23.840218,91111.99,92550.504315968,up,50889180089307685221186652109008895207246213382623400386742161409927821210794,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,chronos-bolt
1126216,2026-01-08T00:45:21.280291,2026-01-08T00:44:21.280291,91231.9,92553.37535580968,up,5735084265808450815367256656057252642169928374499340078223128187925448105522,0.99,1.0,0.99,up,True,0.010000000000000009,1.010101010101011,1.0,chronos-bolt
